profile_pic,username_num_ratio,username_is_numeric,fullname_words,fullname_num_ratio,is_name_number_only,name_equals_username,followers,follows,followers_to_follows_ratio,fake
1,0.27,0,0,0.0,0,0,1000,955,1.0460251046025104,0
1,0.0,0,2,0.0,0,0,2740,533,5.131086142322097,0
1,0.1,0,2,0.0,0,0,159,98,1.606060606060606,0
1,0.0,0,1,0.0,0,0,414,651,0.6349693251533742,0
1,0.0,0,4,0.0,0,0,669987,150,4437.0,0
1,0.0,0,2,0.0,0,0,122,177,0.6853932584269663,0
1,0.0,0,2,0.0,0,0,1078,76,14.0,0
1,0.0,0,0,0.0,0,0,1824,2713,0.6720707442888725,0
1,0.0,0,2,0.0,0,0,12945,813,15.902948402948402,0
1,0.0,0,2,0.0,0,0,1188,365,3.2459016393442623,0
1,0.0,0,2,0.0,0,0,12033,248,48.325301204819276,0
1,0.0,0,2,0.0,0,0,1962,2701,0.7261287934863064,0
1,0.0,0,3,0.0,0,0,50374,900,55.90899001109878,0
1,0.0,0,3,0.0,0,0,7007,289,24.162068965517243,0
1,0.29,0,3,0.0,0,0,1128,694,1.623021582733813,0
1,0.0,0,2,0.0,0,0,2338,776,3.009009009009009,0
1,0.0,0,2,0.0,0,0,3516,999,3.516,0
1,0.0,0,1,0.0,0,0,1809,416,4.338129496402877,0
1,0.0,0,2,0.0,0,0,427,470,0.9065817409766455,0
1,0.0,0,1,0.0,0,0,759,956,0.7931034482758621,0
1,0.0,0,6,0.0,0,0,536,665,0.8048048048048048,0
1,0.0,0,2,0.0,0,0,121354,176,685.6158192090395,0
1,0.0,0,2,0.0,0,0,2284,130,17.435114503816795,0
1,0.0,0,2,0.0,0,0,687,1517,0.4525691699604743,0
1,0.13,0,0,0.0,0,0,966,952,1.0136411332633788,0
1,0.0,0,2,0.0,0,0,744,967,0.768595041322314,0
1,0.0,0,2,0.0,0,0,542073,674,803.0711111111111,0
1,0.18,0,2,0.0,0,0,5315651,2703,1965.8472633136096,0
1,0.33,0,0,0.0,0,0,267,328,0.8115501519756839,0
1,0.0,0,2,0.0,0,0,691,680,1.014684287812041,0
1,0.0,0,2,0.0,0,0,120,112,1.0619469026548674,0
1,0.0,0,0,0.0,0,0,890969,11,74247.41666666667,0
1,0.0,0,2,0.0,0,0,361853,583,619.611301369863,0
1,0.0,0,2,0.0,0,0,3678,1359,2.7044117647058825,0
1,0.0,0,2,0.0,0,0,92192,16,5423.058823529412,0
1,0.0,0,4,0.0,0,0,12397719,8,1377524.3333333333,0
1,0.0,0,2,0.0,0,0,132,183,0.717391304347826,0
1,0.0,0,2,0.0,0,0,162,208,0.7751196172248804,0
1,0.0,0,1,0.0,0,0,369,546,0.6745886654478976,0
1,0.0,0,0,0.0,0,0,1476,666,2.212893553223388,0
1,0.0,0,3,0.0,0,0,1798,461,3.8917748917748916,0
1,0.0,0,2,0.0,0,0,2118,1109,1.9081081081081082,0
1,0.0,0,1,0.0,0,0,812,432,1.8752886836027713,0
1,0.0,0,0,0.0,0,0,313,376,0.830238726790451,0
1,0.12,0,1,0.0,0,0,64,261,0.24427480916030533,0
1,0.0,0,2,0.0,0,0,1759,643,2.731366459627329,0
1,0.0,0,1,0.0,0,0,404,283,1.4225352112676057,0
1,0.12,0,2,0.0,0,0,320377,228,1399.0262008733625,0
1,0.0,0,1,0.0,0,0,108,97,1.1020408163265305,0
1,0.0,0,1,0.0,0,0,384,447,0.8571428571428571,0
1,0.19,0,2,0.0,0,0,60,100,0.594059405940594,0
1,0.0,0,1,0.0,0,0,802,151,5.276315789473684,0
