IsPrivate,IsVerified,HasProfilePic,FollowingCount,FollowerCount,LikesCount,HasInstagram,HasYoutube,HasBio,HasLinkInBio,HasPosts,PostsCount,FollowToFollowerRatio,IsBot
0,0,1,63,0,0,0,0,0,0,0,0,0.0,1
0,0,1,3171,93,3,0,0,0,0,1,1,34.096774193548384,1
0,0,1,2255,132,78,0,0,1,0,1,3,17.083333333333332,1
0,0,1,597,118,201,0,0,0,0,1,15,5.059322033898305,1
0,0,1,85,0,0,0,0,1,0,0,0,0.0,1
0,0,1,1920,42,0,0,0,1,0,0,0,45.71428571428572,1
0,0,0,0,2,0,0,0,1,0,0,0,0.0,1
0,0,1,48,24500,807400,1,0,1,0,1,20,0.0019591836734693,0
0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
0,0,1,15,1766,63100,1,0,1,0,1,20,0.008493771234428,0
0,0,1,90,204,3914,0,0,1,0,1,4,0.4411764705882353,0
0,0,1,741,3,0,0,0,0,0,0,0,247.0,1
0,0,1,2,2,2,0,0,1,0,1,2,1.0,0
0,0,1,5471,103,0,0,0,0,0,0,0,53.11650485436893,1
0,0,0,0,4,0,0,0,1,0,0,0,0.0,1
0,0,1,463,15,6,0,0,0,0,1,2,30.866666666666667,1
0,0,1,2996,133,0,0,0,1,0,0,0,22.526315789473685,1
0,0,1,5280,232,0,0,0,0,0,0,0,22.75862068965517,1
0,0,1,113,1,0,0,0,1,0,0,0,113.0,1
0,0,1,13,2,3,0,0,1,0,1,3,6.5,0
0,0,1,22,0,0,0,0,0,0,0,0,0.0,1
1,0,1,380,33,0,0,0,0,0,0,0,11.515151515151516,0
0,0,1,339,12,0,0,0,0,0,0,0,28.25,1
0,0,1,107,0,0,0,0,1,0,0,0,0.0,1
0,0,1,152,1,0,0,0,1,0,0,0,152.0,1
0,0,1,330,3,0,0,0,0,0,0,0,110.0,1
0,1,1,969,1300000,25500000,1,1,1,0,1,20,7.453846153846E-4,0
