has_custom_cover_image,description_length,favourites_count,followers_count,friends_count,followers_to_friends_ratio,has_location,username_digit_count,username_length,statuses_count,is_verified,account_age_days,account_type
0,129,4,1589,4,317.8,0,0,15,11041,0,1403,1
0,160,536,860,880,0.9761634506242906,1,0,12,252,0,1379,0
0,82,3307,172,594,0.28907563025210087,1,0,8,1001,0,1159,0
0,97,8433,517,633,0.8154574132492114,1,1,13,1324,0,1489,0
0,62,237,27394,542,50.44935543278085,1,3,8,11513,0,1366,1
0,150,5522,291529,1581,184.2787610619469,1,0,14,14535,1,4059,0
0,42,756,6909959,40,168535.58536585365,0,0,7,1223,1,2902,0
0,7,64,24,0,24.0,0,0,14,277,0,2802,0
0,122,36384,2130,3363,0.6331747919143876,1,0,10,63376,0,3108,0
0,94,0,26675,26,987.9629629629629,0,0,8,24087,0,2251,1
0,4,49058,1950090,1574,1238.152380952381,1,0,15,81833,1,3360,0
0,115,4071,252142,562,447.854351687389,1,0,15,6029,1,3576,0
0,130,81967,5281,581,9.073883161512027,1,0,9,106263,0,2920,0
0,11,139,0,0,0.0,0,0,13,272,0,1445,0
0,156,41,0,0,0.0,0,0,12,105,0,1444,0
0,7,510,6,33,0.17647058823529413,0,0,12,639,0,3242,1
0,30,534,37278,455,81.75,1,1,7,9074,1,3372,0
0,60,187,4,0,4.0,0,0,7,23,0,2741,1
0,38,38493,7383658,3016,2447.3510109380177,0,0,12,21947,1,3470,0
0,160,4282,9179,1275,7.193573667711599,1,0,12,11104,1,3271,0
0,133,307,3745,2,1248.3333333333333,1,0,11,2371,0,1004,1
0,25,9678,137,140,0.9716312056737588,0,0,11,7043,0,3889,0
0,42,171,249184,984,252.97868020304568,1,4,14,26368,0,3085,0
0,89,6184,704,598,1.1752921535893155,0,0,10,5675,0,2483,0
0,20,2361,64,156,0.40764331210191085,1,2,8,2780,0,3248,1
0,131,915,267,246,1.0809716599190284,1,0,15,1337,0,1848,0
0,143,13869,108660,1247,87.0673076923077,1,0,8,66559,1,4181,0
0,155,2554,387,328,1.1762917933130699,1,0,11,27929,0,4031,0
0,52,50242,276,509,0.5411764705882353,0,2,8,30093,0,3500,0
0,104,16011,157466,1031,152.58333333333334,1,0,13,33820,1,4193,0
0,114,1332,12,11,1.0,0,1,15,1332,0,1462,1
0,7,722,1300,1137,1.1423550087873462,0,0,11,70176,0,3510,0
0,91,109753,184,436,0.42105263157894735,0,0,14,3569,0,2739,0
0,7,2896,338,743,0.4543010752688172,0,0,7,7167,0,2286,0
0,146,1,93,233,0.3974358974358974,1,0,13,3733,0,3043,0
